reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,10,2,72,6,142.02760880021378,,142.01242549996823,142.02760880021378,143.0266411001794,143.0266411001794,143.04254329996184,143.75921110017225,t,0.7257276000455022,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,10,3,73,0,143.77398490021005,,143.75976599985734,143.77398490021005,144.774400500115,144.774400500115,144.774400500115,145.62570310011506,l,0.8384545999579132,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,10,4,74,4,145.640163899865,,145.62638929998502,145.640163899865,146.6278083003126,146.6278083003126,146.63998840004206,147.1239908998832,t,0.491794400382787,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,10,5,75,2,147.13823270006105,,147.12474890006706,147.13823270006105,148.13723480002955,148.13723480002955,148.13723480002955,148.9880968001671,l,0.8332781000062823,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,10,6,76,1,149.00328500010073,,148.98862940026447,149.00328500010073,150.00222690030932,150.00222690030932,150.00222690030932,150.6212825998664,l,0.6018373002298176,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,11,0,77,1,150.6355928000994,,150.62192879989743,150.6355928000994,151.63442269992083,151.63442269992083,151.63442269992083,152.2694625002332,l,0.6330059003084898,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,11,1,78,2,152.28431349992752,,152.2701135003008,152.28431349992752,153.28369469987229,153.28369469987229,153.28369469987229,153.8513843002729,t,0.5566262002103031,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,11,2,79,0,153.86565669998527,,153.85206199996173,153.86565669998527,154.86422570003197,154.86422570003197,154.86422570003197,155.5157933998853,l,0.6460759998299181,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,11,3,80,4,155.53036120021716,,155.51624940009788,155.53036120021716,156.52944660000503,156.52944660000503,156.52944660000503,158.56214810023084,t,2.0228462000377476,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,11,4,81,3,158.57793179992586,,158.5626059002243,158.57793179992586,159.5771885998547,159.5771885998547,159.5936950002797,160.46005380013958,t,0.867006600368768,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,11,5,82,5,160.47640480007976,,160.46052339999005,160.47640480007976,161.47495849989355,161.47495849989355,161.49107520002872,162.35743350023404,t,0.8672154997475445,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,11,6,83,6,162.37374640023336,,162.35787709988654,162.37374640023336,163.35619219997898,163.35619219997898,163.37321799993515,165.07268460001796,t,1.7032141000963748,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
15,35,13,12,0,84,1,165.08760780002922,,165.07318350020796,165.08760780002922,166.08748580003157,166.08748580003157,166.08748580003157,167.30364029994234,l,1.2081126002594829,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
11,30,7,12,1,85,0,167.31935380026698,,167.30410970002413,167.31935380026698,168.31939770001918,168.31939770001918,168.31939770001918,169.2041882001795,l,0.8795704003423452,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
78,80,162,12,2,86,6,169.2179700001143,,169.2048444999382,169.2179700001143,170.2175294002518,170.2175294002518,170.2175294002518,171.06756340013817,t,0.8410897003486753,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,12,3,87,2,171.0824905000627,,171.06807160004973,171.0824905000627,172.08178459992632,172.08178459992632,172.08178459992632,172.86600829986855,l,0.7671041996218264,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
49,60,89,12,4,88,4,172.88090950017795,,172.86653550015762,172.88090950017795,173.88002800010145,173.88002800010145,173.88002800010145,174.53133390005678,t,0.6442899000830948,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,12,5,89,5,174.54598260018975,,174.53181779989973,174.54598260018975,175.5449140998535,175.5449140998535,175.5449140998535,176.27913440018892,t,0.7311602002009749,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
40,55,62,12,6,90,3,176.2950435001403,,176.27959690010175,176.2950435001403,177.2938112001866,177.2938112001866,177.31021660007536,177.92807790031657,t,0.6268559000454843,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
67,75,119,13,0,91,5,177.94243380008265,,177.92854280024767,177.94243380008265,178.94206980010495,178.94206980010495,178.94206980010495,179.69357819994912,t,0.7379346000961959,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
27,50,21,13,1,92,2,179.70818840013817,,179.6944285002537,179.70818840013817,180.7070323000662,180.7070323000662,180.7070323000662,181.6253150999546,l,0.9166105999611318,None,04,001,2024-11-12_10h33.57.098,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h41.18.039018 +0530,
