trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
114,0,114,0,206.68786030000774,,206.63308980001602,10,206.68786030000774,206.68786030000774,0.03970399999525398,208.2097822999931,[0.16018518518518518],[0.14166666666666666],[1],[0],[0],[1.537453600030858],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
115,0,115,0,208.2465578999836,,208.21270390000427,10,208.2465578999836,208.2465578999836,0.024078599992208183,210.20909309998387,[0.18611111111111112],[-0.3333333333333333],[1],[0],[0],[1.9723630000371486],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
116,0,116,0,210.2657659999677,,210.21303959999932,10,210.2657659999677,210.2657659999677,0.037676600040867925,213.43879250000464,[-0.3314814814814815],[0.25092592592592594],[1],[0],[0],[3.1884497000137344],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
117,0,117,0,213.47020209999755,,213.44279860000825,5,213.47020209999755,213.47020209999755,0.019193599990103394,214.83873550000135,[-0.2898148148148148],[-0.2222222222222222],[1],[0],[0],[1.376758600003086],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
118,0,118,0,214.9088302999735,,214.84542399999918,10,214.9088302999735,214.9088302999735,0.05010879994370043,216.46885229996406,[-0.37962962962962965],[-0.10740740740740741],[1],[0],[0],[1.574209599988535],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
119,0,119,0,216.5292360999738,,216.47303489997284,10,216.5292360999738,216.5292360999738,0.040543299983255565,217.85712840000633,[-0.2740740740740741],[0.125],[1],[0],[0],[1.3438701000413857],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
120,0,120,0,217.89773440000135,,217.8610706999898,10,217.89773440000135,217.89773440000135,0.028012200025841594,219.54964869999094,[0.06944444444444445],[0.3388888888888889],[1],[0],[0],[1.6610389999696054],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
121,0,121,0,219.61660549999215,,219.55305739998585,10,219.61660549999215,219.61660549999215,0.050064300012309104,220.69860730000073,[0.0712962962962963],[0.2851851851851852],[1],[0],[0],[1.0958504999871366],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
122,0,122,0,220.73161949997302,,220.7029514000169,5,220.73161949997302,220.73161949997302,0.020540099998470396,222.73022019997006,[-0.2601851851851852],[-0.16111111111111112],[1],[0],[0],[2.007163300004322],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
123,0,123,0,222.7571966999676,,222.73305490001803,5,222.7571966999676,222.7571966999676,0.011208800016902387,224.76188229996478,[0.2777777777777778],[-0.19074074074074074],[1],[0],[0],[2.0176231000223197],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
124,0,124,0,224.79262759996345,,224.76815229997737,5,224.79262759996345,224.79262759996345,0.019879499974194914,226.9938585999771,[0.21296296296296297],[0.29907407407407405],[1],[0],[0],[2.2062399000278674],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
125,0,125,0,227.0456351999892,,227.00016769999638,5,227.0456351999892,227.0456351999892,0.03210039995610714,228.2757311000023,[0.33055555555555555],[0.21851851851851853],[1],[0],[0],[1.2439285999862477],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
126,0,126,0,228.32839320000494,,228.28204889997141,5,228.32839320000494,228.32839320000494,0.03249309997772798,230.30642169999192,[-0.46111111111111114],[0.4351851851851852],[1],[0],[0],[1.9929592999978922],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
